TTNBR,SERVICEACCTNBR,ServiceType,TROUBLECODEDESC,CONTACTDATETIME,Longitude,Latitude
499656,717183,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,5-May-17,-77.729797,39.323199
499657,44061,Network-Res DSL,NET-Slow Speed,5-May-17,-78.34591,39.004357
499658,641622,Cable,CAB-Equipment,5-May-17,-77.729797,39.323199
499661,729026,Cable,Drop Bury - Post Install,5-May-17,-79.944339,36.948292
499662,329479,Network,NET-No Internet Connection,5-May-17,-80.493792,37.126356
499663,188339,Cable,CAB-Loss of Some Channels,5-May-17,-80.54661,38.219505
499665,729565,Prospect Account,Serviceability Check - RES,5-May-17,-78.357744,38.995677
499666,7457,Residential Phone,TEL-No Dial Tone,5-May-17,-78.365014,39.073012
499668,263584,Network,NET-Intermittent Connection,5-May-17,-80.60924,37.147606
499670,587067,Network,NET-Slow Speed,5-May-17,-79.27051,37.343244
498753,243965,Network,NET-No Internet Connection,1-May-17,-81.386649,37.584376
498754,10384,Business Phone,TEL-No Dial Tone,1-May-17,-78.750048,38.826373
498757,232921,Cable - Business Customer,CAB-Loss of All Channels,1-May-17,-78.833662,37.363553
498758,125913,Cable,CAB-Poor Quality-All Channels,1-May-17,-79.791256,37.831243
498759,8420,Business Phone,TEL-Not Receiving Calls,1-May-17,-78.639169,38.750434
498762,531430,Network,NET-No Internet Connection,1-May-17,-81.642269,37.521393
498763,24476,1-Res Cable Modem,NET-Intermittent Connection,1-May-17,-78.609055,38.840177
498764,197924,Network,NET-No Internet Connection,1-May-17,-80.628272,38.348619
498766,417082,Network-Res DSL,NET-Slow Speed,1-May-17,-78.756627,38.738448
498767,4092,Alarm Monitoring,ALM-Alarm Service Not Working,1-May-17,-78.496363,38.852157
498769,281035,Cable,CAB-Loss of All Channels,1-May-17,-79.519966,37.337259
499056,659019,Network,NET-Slow Speed,2-May-17,-79.228819,37.320328
499060,308243,Network,NET-No Internet Connection,2-May-17,-79.79128,36.957566
499062,673993,Network,NET-Intermittent Connection,2-May-17,-80.372969,37.140528
499063,341555,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,2-May-17,-80.372969,37.140528
499065,284678,Network,NET-No Internet Connection,2-May-17,-80.478877,37.149714
499067,549916,Network,NET-Intermittent Connection,2-May-17,-78.871995,37.375268
499069,464962,Network - Business Cust,NET-No Internet Connection,2-May-17,-81.572855,37.431601
499071,620786,Network,NET-Connection Dropping,2-May-17,-78.470644,37.240576
499072,503708,Network,NET-Intermittent Connection,2-May-17,-80.475468,37.110805
499074,728173,Network,Drop PRE-Bury,2-May-17,-79.196039,37.268289
499076,724796,Cable,Drop Bury - Post Install,2-May-17,-79.227242,37.338713
499371,724816,Network,NET-Intermittent Connection,4-May-17,-78.377397,37.297493
499373,61303,Network-Res DSL,NET-No Internet Connection,4-May-17,-78.362506,38.99201
499374,681763,Cable,CAB-Loss of All Channels,4-May-17,-79.281675,37.360848
499378,270222,Cable,CAB-Loss of All Channels,4-May-17,-81.964729,37.011286
499383,456257,Cable,CAB-Loss of Some Channels,4-May-17,-78.357016,38.987976
499384,633158,Network-Prepaid Svcs,NET-No Internet Connection,4-May-17,-81.644502,37.186802
499385,306523,Network - Business Cust,NET-No Internet Connection,4-May-17,-78.392107,37.300752
499386,255332,Cable,CAB-Loss of Some Channels,4-May-17,-80.43785,37.172301
499387,266865,Cable,CAB-Loss of One Channel,4-May-17,-79.870748,36.967094
499388,611785,VOIP-Bus ShenTel Cable,TEL-Noise On Line,4-May-17,-79.914486,36.987546
499389,318250,Network - Business Cust,NET-No Internet Connection,4-May-17,-80.409058,37.129634
499390,662095,Cable,CAB-Loss of One Channel,4-May-17,-78.475148,37.040283
499391,282640,Network - Business Cust,NET-No Internet Connection,4-May-17,-80.410036,37.1288
499671,729146,Network-Res DSL,NET-No Internet Connection,5-May-17,-78.507947,38.945372
499672,729525,Cable,Drop - Aerial,5-May-17,-80.400522,38.480007
499674,721170,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,5-May-17,-80.45989,37.749778
499677,469923,Cable,Drop - Aerial,5-May-17,-81.19658,37.963399
499678,600214,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,5-May-17,-78.392478,37.312464
499679,729115,Network,Drop Bury - Post Install,5-May-17,-80.428052,37.153795
499680,176117,Network,NET-Intermittent Connection,5-May-17,-80.690026,39.048467
499681,706869,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,5-May-17,-81.094228,38.134467
499683,280690,Cable,TD-Reconnect,5-May-17,-81.537344,37.606556
499684,562861,Network,NET-Intermittent Connection,5-May-17,-78.394384,37.26219
498773,666994,Network - Business Cust,NET-No Internet Connection,1-May-17,-80.414813,37.149962
498774,690452,Network,NET-No Internet Connection,1-May-17,-79.380706,39.419313
498776,266460,Cable,CAB-Loss of Some Channels,1-May-17,-79.83746,37.009313
498778,464991,1-Res Cable Modem,NET-No Internet Connection,1-May-17,-78.547185,38.904668
